ONS / CCG code,,,"Commissioning region, region and CCG1",,,"Prescription items: All 
pharmacotherapies",Prescription items: Nicotine Replacement Therapies (NRT),Prescription items: Bupropion,Prescription items: Varenicline,"Prescription items per 1000 of the population: All 
pharmacotherapies",Prescription items per 1000 of the population: Nicotine Replacement Therapies (NRT),Prescription items per 1000 of the population: Bupropion,Prescription items per 1000 of the population: Varenicline
E38000083,,09X,NHS Horsham and Mid Sussex CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	3,434 "," 	2,204 ", 	95 ," 	1,135 ",14,9,0,5
E38000104,,09W,NHS Medway CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	3,567 "," 	2,146 ", 	109 ," 	1,312 ",13,8,0,5
E38000128,,09Y,NHS North West Surrey CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	3,507 "," 	1,309 ", 	155 ," 	2,043 ",10,4,0,6
E38000156,,10A,NHS South Kent Coast CCG,"NHS England South East (Kent, Surrey and Sussex)",South East, 	294 , 	212 , 	30 , 	52 ,1,1,0,0
E38000177,,99H,NHS Surrey Downs CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	3,187 "," 	1,505 ", 	260 ," 	1,422 ",11,5,1,5
E38000180,,10D,NHS Swale CCG,"NHS England South East (Kent, Surrey and Sussex)",South East, 	191 , 	119 , 	10 , 	62 ,2,1,0,1
E38000184,,10E,NHS Thanet CCG,"NHS England South East (Kent, Surrey and Sussex)",South East, 	330 , 	154 , 	36 , 	140 ,2,1,0,1
E38000199,,99J,NHS West Kent CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	4,461 "," 	2,682 ", 	325 ," 	1,454 ",9,5,1,3
E38000213,,09G,NHS Coastal West Sussex CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	11,131 "," 	6,886 ", 	141 ," 	4,104 ",22,13,0,8
E38000214,,09N,NHS Guildford and Waverley CCG,"NHS England South East (Kent, Surrey and Sussex)",South East," 	2,683 "," 	1,293 ", 	198 ," 	1,192 ",13,6,1,6
E38000045,,11J,NHS Dorset CCG,NHS England South West (South West South),South West," 	7,604 "," 	3,741 ", 	455 ," 	3,408 ",10,5,1,4
E38000089,,11N,NHS Kernow CCG,NHS England South West (South West South),South West," 	18,046 "," 	12,406 ", 	301 ," 	5,339 ",32,22,1,9
E38000150,,11X,NHS Somerset CCG,NHS England South West (South West South),South West," 	1,451 ", 	726 , 	199 , 	526 ,3,1,0,1
E38000230,,15N,NHS Devon CCG,NHS England South West (South West South),South West," 	30,396 "," 	20,207 ", 	467 ," 	9,722 ",25,17,0,8
E38000009,,11E,NHS Bath and North East Somerset CCG,NHS England South West (South West North),South West," 	3,881 "," 	2,555 ", 	47 ," 	1,279 ",20,13,0,7
E38000062,,11M,NHS Gloucestershire CCG,NHS England South West (South West North),South West," 	11,362 "," 	5,261 ", 	181 ," 	5,920 ",18,8,0,9
E38000181,,12D,NHS Swindon CCG,NHS England South West (South West North),South West," 	4,271 "," 	2,410 ", 	141 ," 	1,720 ",19,11,1,8
E38000206,,99N,NHS Wiltshire CCG,NHS England South West (South West North),South West," 	10,888 "," 	6,965 ", 	124 ," 	3,799 ",22,14,0,8
E38000222,,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",NHS England South West (South West North),South West," 	15,673 "," 	9,331 ", 	432 ," 	5,910 ",16,10,0,6
